	Sensor 1 Acc.ACCX1	Sensor 1 Acc.ACCY1	Sensor 2 Acc.ACCX2	Sensor 2 Acc.ACCY2	Sensor 2 Acc.ACCZ2	Sensor 3 Acc.ACCX3	Sensor 3 Acc.ACCY3	Sensor 3 Acc.ACCZ3	Sensor 4 Acc.ACCX4	Sensor 4 Acc.ACCY4	Sensor 4 Acc.ACCZ4	Sensor 5 Acc.ACCX5	Sensor 5 Acc.ACCY5	Sensor 5 Acc.ACCZ5	Sensor 6 Acc.ACCX6	Sensor 6 Acc.ACCY6	Sensor 6 Acc.ACCZ6	Sensor 15 Acc.ACCX15	Sensor 15 Acc.ACCY15	Sensor 16 Acc.ACCX16	Sensor 16 Acc.ACCY16	Sensor 16 Acc.ACCZ16	Force.Fx3	Force.Fy3	Force.Fz3
	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG	ANALOG
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
1123	13.001746	-2.075449	11.152595	-2.817549	-3.239665	11.803159	5.640588	-5.067117	14.210065	4.014578	-0.396843	-15.288902	-0.618391	-2.276017	20.669367	-0.083774	-0.488905	0.464121	0.464121	59.879387	0.464121	0.464121	0.292432	-0.099752	0.997125
1124	13.358808	-2.678025	11.232582	-3.572694	-3.483084	11.928593	6.381377	-5.873582	14.731115	4.926344	-0.799819	-15.897352	-1.585440	-1.787969	19.213854	-1.165930	-0.918897	0.464121	0.464121	75.683937	0.464121	0.464121	0.378793	-0.054150	0.817713
1125	13.637463	-3.193259	11.188329	-4.246116	-3.646814	11.820289	7.109420	-6.434509	15.214281	5.781584	-1.022504	-16.342222	-2.334140	-1.182518	18.127014	-1.809489	-0.179056	0.464121	0.464121	91.144630	0.464121	0.464121	0.114161	-0.276906	0.291612
1126	14.039563	-3.572052	11.187097	-4.659187	-3.810080	11.562835	7.944913	-6.711341	15.710073	6.606346	-0.989622	-16.765404	-2.843266	-0.542651	17.339945	-1.959100	1.440419	0.464121	0.464121	108.992645	0.464121	0.464121	0.069999	-0.055398	0.469792
1127	14.588689	-3.592836	11.256996	-4.558964	-4.007660	11.185038	8.887740	-6.656951	16.232552	7.501992	-0.867942	-17.279045	-3.303305	0.290616	16.593212	-2.220536	3.921927	0.464121	0.464121	136.394516	0.464121	0.464121	0.067785	-0.142881	0.991479
1128	15.278961	-3.574793	11.515116	-4.127706	-4.236774	10.891990	9.830036	-6.310717	16.980921	8.135222	-0.538462	-17.785172	-3.529415	1.106100	15.913393	-2.268226	6.468551	0.464121	0.464121	164.667435	0.464121	0.464121	0.379838	-0.012874	-0.052964
1129	16.164804	-3.636726	12.012312	-3.482850	-4.477761	10.667080	10.957650	-5.818864	17.937912	8.510216	-0.501606	-18.436180	-3.446157	1.488716	15.422769	-2.202324	8.694201	0.464121	0.464121	186.457642	0.464121	0.464121	0.070209	0.034069	1.170488
1130	17.202660	-3.613039	12.618677	-2.753045	-4.758686	10.626826	12.356273	-5.419264	18.912033	9.022968	-0.593980	-19.259388	-3.383749	1.210862	14.795970	-1.819100	10.551135	0.464121	0.464121	201.161362	0.464121	0.464121	0.203437	-0.143340	0.116827
1131	18.421051	-3.030931	13.124217	-2.025090	-5.090888	10.666883	13.752640	-5.054809	19.603266	9.628782	-0.559428	-19.898882	-3.430570	0.656245	14.427799	-1.194964	11.911613	0.464121	0.464121	211.684616	0.464121	0.464121	0.070010	-0.144416	-0.056738
1132	19.550930	-1.763831	13.611765	-1.355354	-5.422675	10.947295	14.713849	-4.619971	20.031765	10.422867	-0.796442	-20.126480	-3.581237	0.194838	14.428309	-0.822115	12.409202	0.464121	0.464121	221.441528	0.464121	0.464121	0.291411	-0.276491	0.115931
1133	20.041626	-0.816166	13.983622	-0.678935	-5.896019	11.682940	14.885531	-4.407613	20.146696	11.187469	-2.073709	-20.173267	-4.153489	-0.300287	14.859374	-0.817948	12.413368	0.464121	0.464121	228.684662	0.464121	0.464121	0.248043	-0.188361	-0.408070
1134	19.904510	-1.080086	14.012872	0.186518	-6.704900	12.773142	13.906989	-4.246255	20.033060	10.015786	-3.236057	-19.964371	-4.638455	-1.550842	15.961755	-1.121594	11.987991	0.464121	0.464121	234.626343	0.464121	0.464121	0.468756	-0.099283	-0.758688
1135	18.602198	-1.725692	13.737071	1.196695	-7.179238	13.658137	11.778059	-4.381789	19.163355	5.824676	-3.638331	-18.866152	-3.670496	-3.243801	17.681786	-1.435094	10.894962	0.464121	0.464121	240.542664	0.464121	0.464121	0.114672	-0.275469	1.166668
1136	16.458532	-1.529576	13.325689	2.279400	-6.486066	14.281079	9.261932	-5.011228	17.565701	0.316702	-3.712508	-16.934097	-0.723811	-5.079683	19.607428	-1.394446	9.005727	0.464121	0.464121	246.764435	0.464121	0.464121	0.424156	-0.187940	0.117300
1137	14.425602	-0.730758	13.003997	3.258321	-4.516228	14.997275	6.628458	-5.447599	16.059889	-3.584906	-4.224484	-14.771760	2.747030	-7.113016	21.824701	-0.809184	6.145342	0.464121	0.464121	251.684128	0.464121	0.464121	0.290309	-0.143909	-0.409754
1138	13.060267	-0.291638	12.848292	4.047102	-2.037372	16.159124	3.874782	-4.792828	14.578090	-4.726705	-5.018135	-12.717139	5.105854	-9.100590	24.410664	0.108063	2.580546	0.464121	0.464121	254.999527	0.464121	0.464121	0.158964	-0.099423	-0.583530
1139	12.240150	-0.250728	12.900282	4.607709	0.245702	17.391685	1.281939	-2.704799	12.902632	-4.350836	-4.982155	-10.620976	6.405339	-10.552048	27.588730	1.766511	-1.655700	0.464121	0.464121	257.880768	0.464121	0.464121	0.378531	-0.143746	0.467323
1140	11.762148	0.442647	13.091075	4.810404	2.353810	18.303934	-0.983208	0.312281	11.539295	-3.943151	-3.858026	-8.306225	7.497340	-11.095276	32.422390	3.476230	-7.649648	0.605181	0.464121	260.479858	0.464121	0.464121	0.201156	-0.453589	0.638629
1141	11.426883	1.846789	13.116783	4.262671	3.853993	18.782743	-2.789802	3.121081	10.125750	-3.985916	-2.429707	-5.862521	9.005890	-11.061378	39.122776	3.546688	-11.846412	1.597094	0.464121	261.238739	0.464121	0.464121	0.336526	0.032089	0.122510
1142	10.430411	2.530990	12.843935	2.913652	4.456889	18.649429	-4.017295	5.591164	8.386168	-4.709167	-0.738206	-3.392413	10.872792	-11.145958	45.413254	3.127066	-9.658113	4.376167	0.464121	258.671631	0.464121	0.464121	0.247725	0.033157	-0.230785
1143	8.844834	3.392119	12.762610	1.103841	3.985715	18.215181	-4.484351	7.726140	7.002155	-6.583560	1.077040	-1.104782	12.947625	-11.557806	51.964355	3.076127	-6.457791	8.545631	0.464121	254.696747	0.464121	0.464121	0.336235	-0.054559	-0.232833
1144	7.748935	7.015351	13.114096	-0.713685	2.544121	17.983269	-4.316988	8.704405	6.760093	-8.864275	2.137268	0.336250	14.815547	-11.871650	56.106468	3.190583	-6.669143	9.926959	0.464121	250.299316	0.464121	0.464121	0.688879	-0.143102	0.642586
1145	6.857046	11.701478	13.584863	-1.865188	0.674641	17.710045	-3.922718	8.468428	7.101981	-8.764656	2.333163	-0.028789	14.815179	-11.514957	55.492867	2.525129	-8.489795	8.700817	0.464121	245.918213	0.464121	0.464121	0.336021	-0.144507	0.119227
1146	5.938375	14.172497	13.881791	-1.938403	-0.862288	17.165615	-3.369571	8.067995	6.859930	-5.009807	1.165145	-2.117203	12.231527	-10.811119	51.549534	0.334137	-9.545235	7.573283	0.464121	240.490143	0.464121	0.464121	0.335674	-0.367239	-0.933733
1147	5.966145	14.274758	13.993936	-1.145032	-1.787812	16.441153	-2.329589	7.826382	6.302099	-0.816474	-0.738363	-3.703549	9.159698	-10.189767	46.695862	-3.047058	-9.524272	7.271124	0.464121	233.288330	0.464121	0.464121	0.334955	-0.232027	0.115599
1148	6.474910	12.190233	13.953767	-0.097582	-2.388474	15.599314	-0.664201	7.161430	6.178567	1.328606	-1.922567	-3.597217	7.449135	-9.363174	41.889008	-6.593420	-9.197720	7.150724	0.464121	224.956390	0.464121	0.464121	0.424694	-0.143970	-0.232007
1149	6.384976	8.604120	13.678250	0.626480	-2.748217	14.732705	1.096551	5.759808	6.036020	2.085085	-2.605082	-3.131086	6.684855	-8.116549	37.283886	-9.149624	-9.072903	6.511398	0.464121	216.430664	0.464121	0.464121	0.335873	-0.187701	-0.234426
1150	5.865285	5.672606	13.136123	0.735848	-2.919271	13.895260	2.346424	3.982269	5.340716	2.223457	-3.705505	-2.899143	6.425371	-6.866767	32.803581	-10.320714	-8.983299	5.551005	0.464121	208.186508	0.464121	0.464121	0.115171	-0.365899	-0.409614
1151	5.110692	3.865571	12.326363	0.387384	-2.876100	13.059872	2.939424	2.297342	4.292101	1.978230	-5.007127	-2.122487	6.516994	-6.312221	28.410870	-10.541253	-8.457121	4.703278	0.464121	198.811859	0.464121	0.464121	0.379808	-0.099636	-0.232493
1152	4.163683	2.227447	11.309366	-0.096683	-2.556019	12.210908	3.059023	0.937732	3.031163	1.606738	-5.652894	-0.404944	6.301859	-6.775220	24.448383	-10.260943	-7.472891	4.463927	0.464121	187.094360	0.464121	0.464121	0.600166	-0.230823	1.516531
1153	3.192650	0.813591	10.254457	-0.511342	-2.128614	11.201929	2.915004	0.094711	1.660409	1.258485	-5.345922	1.719273	5.436911	-7.764368	21.074020	-9.653748	-6.436408	4.957909	0.464121	175.238297	0.464121	0.464121	0.424069	-0.363880	0.113044
1154	2.254089	0.239314	9.290230	-0.712793	-1.808993	10.052202	2.569823	-0.259189	0.521278	0.995020	-4.249246	3.303298	4.194680	-8.251119	18.526648	-8.907028	-5.817442	5.431207	0.464121	163.699738	0.464121	0.464121	0.512556	-0.141385	-0.061700
1155	1.421971	0.546698	8.477620	-0.793699	-1.615199	9.020845	1.993192	-0.302660	-0.114765	0.723490	-2.742955	3.812978	3.093311	-7.640515	17.005726	-8.200103	-5.710363	6.013794	0.464121	152.379684	0.464121	0.464121	0.379186	-0.187653	0.115787
1156	0.837547	1.279266	7.872440	-0.786782	-1.517305	8.182685	1.213499	-0.119890	-0.201278	0.242795	-1.305344	3.492185	2.548723	-6.173634	16.186041	-7.676186	-5.971967	6.974195	0.464121	141.915070	0.464121	0.464121	0.202468	-0.010520	-0.408207
1157	0.660424	2.072553	7.441829	-0.669734	-1.489338	7.559190	0.382796	0.187970	0.122660	-0.547416	-0.322132	2.958725	2.779233	-4.593371	15.915378	-7.340625	-6.526655	7.837361	0.464121	132.011642	0.464121	0.464121	0.113068	-0.231237	0.464121
1158	0.932766	2.922587	7.123615	-0.541149	-1.433330	7.219440	-0.287193	0.563798	0.709998	-1.431645	0.037547	2.359850	3.757640	-3.415541	16.167625	-7.256312	-7.057925	8.243554	0.464121	122.867218	0.464121	0.464121	0.246462	-0.189221	-0.407805
1159	1.429078	3.818151	6.973879	-0.361448	-1.371448	7.068937	-0.672948	0.974593	1.509810	-2.011078	0.034541	1.519837	5.134902	-2.660149	16.788576	-7.644063	-7.359682	8.243554	0.464121	113.862938	0.464121	0.464121	-0.017591	-0.145260	-0.230539
1160	1.940697	4.603167	6.974719	-0.149094	-1.302571	7.039711	-0.801038	1.364685	2.392571	-2.077617	-0.010911	0.657703	6.449773	-2.388453	17.743410	-8.147890	-7.282042	8.154024	0.464121	105.418938	0.464121	0.464121	0.247382	0.034235	0.118061
1161	2.415429	5.280562	6.995905	0.049520	-1.164160	7.114046	-0.761671	1.672755	3.072942	-1.608176	-0.067932	0.026751	7.324863	-2.623448	18.829683	-8.316828	-6.670452	7.802111	0.464121	98.348572	0.464121	0.464121	0.468595	-0.275944	0.115314
1162	2.854322	5.895433	6.999741	0.269007	-1.018381	7.237380	-0.693435	1.896078	3.364007	-0.838218	-0.132740	-0.359325	7.642616	-3.174658	19.650597	-8.284019	-5.788601	7.790070	0.464121	92.057747	0.464121	0.464121	0.423638	-0.099264	-0.409354
1163	3.280962	6.338325	6.935788	0.517051	-0.927421	7.347917	-0.702255	2.100116	3.424771	-0.202415	-0.103326	-0.452221	7.541955	-3.911865	19.742487	-7.991508	-5.062649	8.243554	0.464121	85.788383	0.464121	0.464121	0.291956	-0.365808	-0.409748
1164	3.524624	6.507548	6.766841	0.752969	-0.911834	7.331816	-0.784911	2.291564	3.509758	0.148637	-0.020296	-0.296571	7.331799	-4.778962	19.013155	-7.068784	-4.720098	8.243554	0.464121	79.144783	0.464121	0.464121	0.158324	0.033502	0.118775
1165	3.634807	6.366873	6.525246	0.974105	-0.937890	7.210881	-0.928015	2.534374	3.761968	0.285234	-0.051146	-0.097879	7.291072	-5.598656	18.112608	-5.735243	-4.566268	8.243554	0.464121	72.910019	0.464121	0.464121	0.334918	0.077824	0.294629
1166	3.658901	5.955632	6.171226	1.232025	-1.003741	6.876707	-1.122960	2.790786	4.204157	0.123960	-0.156960	0.015058	7.442213	-6.115579	17.551920	-4.486770	-4.781118	8.243554	0.464121	67.147644	0.464121	0.464121	0.955163	0.035602	0.291445
1167	3.569437	5.443711	5.773640	1.445967	-1.047473	6.386552	-1.354149	3.113248	4.509377	-0.286867	-0.214320	0.107429	7.554158	-6.216798	17.206381	-3.330216	-5.197721	8.243554	0.464121	61.385281	0.464121	0.464121	0.293113	-0.010452	-0.406825
1168	3.425714	4.891562	5.410737	1.533132	-1.029931	5.869081	-1.569574	3.399970	4.555128	-0.637428	-0.455876	0.269823	7.431097	-5.974432	17.065340	-2.351177	-5.077913	8.243554	0.464121	55.622902	0.464121	0.464121	0.467876	-0.276625	-0.410511
1169	3.408196	4.638271	5.093560	1.538018	-1.053616	5.377713	-1.753859	3.584606	4.693419	-0.821457	-0.642348	0.323658	7.078671	-5.390350	17.415323	-0.881112	-4.132821	8.243554	0.464121	49.860512	0.464121	0.464121	0.246873	-0.009646	2.046876
1170	3.550314	4.737899	4.780194	1.462580	-1.125842	4.958912	-1.879928	3.729675	4.924304	-0.869848	-0.677671	0.210439	6.432551	-4.504849	18.137218	1.035364	-3.410927	8.243554	0.464121	44.353577	0.464121	0.464121	0.557128	-0.143721	-0.409077
1171	3.815463	4.931897	4.591096	1.407047	-1.225372	4.597316	-1.933970	3.877184	5.199907	-0.713193	-0.662154	-0.004649	5.621179	-3.668017	18.716303	3.213581	-2.831840	8.243554	0.464121	40.316002	0.464121	0.464121	0.203084	-0.143486	0.819303
1172	4.164221	5.144154	4.505949	1.404682	-1.303404	4.314230	-1.990097	3.984708	5.502085	-0.428170	-0.757767	-0.279744	4.735743	-3.127485	19.043987	5.617472	-2.504157	8.243554	0.464121	38.336468	0.464121	0.464121	0.290624	-0.188323	0.117151
1173	4.505465	5.518708	4.515849	1.455881	-1.381436	4.050064	-2.000182	4.091299	5.913929	-0.143830	-0.846283	-0.731746	3.908419	-2.721505	19.118658	7.515250	-2.385802	8.187368	0.464121	36.003429	0.464121	0.464121	0.645417	-0.143398	-0.233805
1174	4.873219	5.930212	4.505776	1.505544	-1.452933	3.840798	-1.983000	4.048254	6.537859	0.198601	-0.654332	-1.505156	3.114485	-2.500558	18.901880	8.831261	-2.310257	7.838210	0.464121	33.175861	0.464121	0.464121	0.380127	0.076622	0.122387
1175	5.364856	6.128015	4.429818	1.539576	-1.485105	3.614380	-1.942124	3.815611	7.348686	0.477535	-0.081345	-2.581608	2.234328	-2.875988	18.901880	9.798442	-1.736291	7.220056	0.464121	30.687973	0.464121	0.464121	0.291452	-0.145761	-0.229250
1176	6.020247	5.991835	4.363438	1.637145	-1.459712	3.368744	-1.788028	3.587359	8.277195	0.618125	0.552056	-3.971955	1.475384	-3.054129	18.920738	10.526315	-1.531008	6.884710	0.464121	28.767151	0.464121	0.464121	0.203273	-0.144550	-0.407683
1177	6.861982	5.892818	4.294003	1.784610	-1.444503	3.114455	-1.641573	3.515939	9.354708	0.744111	0.373144	-5.097681	0.852903	-2.332873	19.084143	11.109627	-1.712275	6.298696	0.464121	26.800419	0.464121	0.464121	0.291008	0.120680	-0.579457
1178	7.862735	6.399206	4.173429	1.988504	-1.403724	3.043642	-1.471239	3.522990	10.344428	1.164356	-0.758579	-5.424514	0.593576	-2.427237	19.616228	11.341129	-2.453688	6.255307	0.464121	24.514725	0.464121	0.464121	0.202755	-0.099433	0.644125
1179	9.184114	7.385421	4.025845	2.250803	-1.345293	3.058081	-1.163289	3.574111	11.294508	2.026827	-1.422160	-5.573691	1.088797	-4.482987	20.501118	11.277637	-4.312249	5.940713	0.464121	21.674381	0.464121	0.464121	0.158622	-0.232816	0.292367
1180	10.579398	8.098724	3.815156	2.605020	-1.223544	3.104872	-0.732497	3.670849	12.781929	2.877573	-0.312032	-6.287024	1.836675	-7.829544	21.561680	10.724800	-7.702589	5.326266	0.464121	19.139147	0.464121	0.464121	0.160452	-0.100417	-0.054877
1181	11.945395	7.876988	3.571744	2.927004	-1.017697	3.215135	-0.379463	3.630452	14.994938	2.653586	2.009730	-8.007667	2.901963	-9.752945	22.214077	9.072794	-11.698447	5.326266	0.464121	17.218365	0.464121	0.464121	0.248703	0.032712	-0.755278
1182	13.011737	6.474180	3.334443	3.304392	-0.810168	3.479841	-0.269799	3.414004	17.315182	0.503943	3.620809	-10.508041	3.069601	-8.799468	22.271847	6.964648	-14.595075	5.326266	0.464121	15.330731	0.464121	0.464121	0.335740	-0.099544	0.996099
1183	13.611046	5.023339	3.139680	3.585430	-0.666538	3.836885	-0.190381	2.789316	18.915087	-2.623155	3.797971	-13.571961	2.870512	-7.331743	22.663208	4.522155	-13.744614	5.295658	0.464121	13.727450	0.464121	0.464121	0.158639	-0.012275	0.296802
1184	13.379150	4.695262	2.873401	3.832690	-0.640176	4.337760	0.176532	1.646625	19.535011	-4.484269	2.700394	-16.399088	4.188009	-6.301137	21.728306	2.771894	-8.241139	4.987605	0.464121	12.767037	0.464121	0.464121	0.291930	0.032400	0.297228
1185	13.183392	5.155046	2.673066	3.819674	-0.913467	5.060089	1.076482	0.023161	19.825132	-4.204680	1.430781	-17.819599	6.121122	-5.400454	21.618538	2.022284	-1.953789	4.052711	0.464121	11.806643	0.464121	0.464121	0.291509	-0.189569	-0.406345
1186	13.922115	6.317753	2.636846	3.343064	-1.192335	6.011956	2.546880	-1.971948	20.092201	-3.530002	1.407762	-18.191784	7.068195	-4.035147	22.393047	0.228878	-0.411132	3.381408	0.464121	10.869186	0.464121	0.464121	0.202235	-0.232291	0.291399
1187	14.564640	6.627263	2.650136	2.604869	-1.173137	7.035277	4.124608	-3.830931	20.121830	-4.183156	3.020265	-18.944521	6.150603	-3.037614	21.102816	-5.470612	0.413538	3.381408	0.464121	10.168017	0.464121	0.464121	0.379799	-0.100158	0.470471
1188	13.792790	4.381265	2.983376	1.923667	-1.125695	8.172848	5.527104	-5.800228	19.756981	-5.902582	4.090215	-19.211824	3.364676	-2.782475	18.482361	-12.912879	5.375808	3.381408	0.464121	9.897881	0.464121	0.464121	-0.018541	0.033492	1.522497
1189	12.281994	2.797354	4.132128	0.934113	-1.646671	9.023353	6.992332	-8.991533	18.191193	-7.060166	3.525505	-17.684118	0.952285	-3.087997	15.731861	-18.209301	15.983405	3.381408	0.464121	8.952783	0.464121	0.464121	0.205787	-0.057744	-0.751907
1190	10.881977	4.868060	6.004870	-0.859783	-3.036482	8.737105	9.248628	-12.234182	15.737595	-7.894515	3.147715	-15.013179	1.916362	-3.954456	12.124459	-16.878414	33.142574	3.381408	0.464121	8.243554	0.464121	0.464121	0.513784	-0.144761	-0.406123
1191	9.647946	6.374970	8.610782	-3.601526	-5.378647	8.359292	12.430671	-14.413687	13.848141	-8.449018	3.328070	-13.621730	4.469657	-5.520440	6.291266	-3.225586	52.899006	3.381408	0.464121	8.233362	0.464121	0.464121	0.336651	0.122560	-0.406185
1192	9.607015	4.777996	12.073666	-6.412619	-8.902931	8.620448	16.248291	-15.596704	13.372866	-9.186705	3.882525	-14.074965	5.510337	-7.268976	-0.310454	17.050524	61.248276	3.381408	0.464121	7.993518	0.464121	0.464121	0.334258	-0.010472	-0.233862
1193	10.114929	2.488675	16.177313	-8.110602	-13.991353	8.932918	19.422546	-15.042262	13.622159	-10.591568	4.502531	-15.270378	5.886895	-7.653158	-1.374717	27.091583	45.390942	3.381408	0.464121	6.810416	0.464121	0.464121	0.246624	-0.321698	-0.234451
1194	9.213273	0.013073	19.414528	-8.153093	-18.883299	9.021152	20.045055	-12.169557	13.810637	-12.136632	4.219015	-16.699699	6.041676	-6.823377	4.599331	20.492601	22.848598	3.381408	0.464121	4.892175	0.464121	0.464121	0.158569	0.033047	-0.230711
1195	7.323958	-1.520344	20.054142	-7.446072	-20.023016	8.516294	19.317877	-10.902168	13.386176	-13.013883	3.676355	-18.121998	5.070973	-4.707049	13.265761	2.096217	12.372121	3.381408	0.464121	3.175127	0.464121	0.464121	-0.018353	-0.011320	0.119426
1196	5.447632	-1.636220	20.146362	-6.241313	-20.154253	7.076249	15.364249	-11.754592	12.238157	-12.719512	3.705923	-18.985094	2.114041	-2.290394	21.117706	-15.689449	11.319848	3.381408	0.464121	2.418438	0.464121	0.464121	0.291383	-0.100459	0.120264
1197	4.073306	-1.044595	19.314081	-4.526302	-20.178082	5.632646	11.321851	-13.779212	11.143825	-11.296074	2.597260	-18.749622	-1.324018	-1.631929	22.869814	-22.571026	14.468534	3.381408	0.464121	2.408979	0.464121	0.464121	0.246609	-0.233362	1.346282
1198	4.310902	-0.166100	15.138545	-3.744266	-19.584005	5.533035	8.596953	-15.619401	10.308455	-10.356495	0.316437	-17.176744	-2.364804	-3.447674	16.392511	-20.511580	16.710815	3.381408	0.464121	2.210417	0.464121	0.464121	0.470254	-0.186367	-0.060256
1199	6.731884	0.298245	10.102477	-3.704559	-16.876707	6.753910	7.962083	-15.546222	9.477105	-8.371125	1.001286	-15.823898	-0.766443	-6.080863	8.376901	-15.394893	17.893642	4.557318	0.464121	1.278404	0.464121	0.464121	0.333812	-0.188173	1.168732
1200	7.411569	1.922306	6.181760	-2.774090	-14.001091	7.722902	9.580770	-13.295961	10.602655	-7.124347	1.587588	-13.348699	2.419516	-7.994482	6.360307	-10.243049	20.659182	12.607034	0.464121	0.511421	0.464121	0.464121	0.424204	-0.144625	0.119532
1201	10.014229	2.520689	3.928327	-1.088005	-11.615307	7.735955	12.074568	-10.177886	11.043027	-6.010497	1.203668	-11.123648	6.155035	-8.227118	11.270519	-5.074260	23.818270	34.247105	0.464121	0.464121	0.464121	0.464121	0.202703	0.166100	0.121276
1202	11.171478	-0.697029	4.072086	0.709764	-9.581777	7.638066	13.273050	-6.996182	11.281003	-9.214212	5.256587	-11.780496	9.332382	-6.999746	19.761398	1.038186	23.994987	73.918198	0.464121	0.464121	0.464121	0.464121	0.069297	-0.144556	0.118009
1203	10.724832	-3.138866	5.984506	2.495559	-7.978717	8.090789	12.363323	-4.095839	11.493860	-8.664691	10.482533	-13.220159	11.909122	-4.538466	28.682915	5.968167	19.612129	123.400925	0.464121	0.464121	0.464121	0.464121	0.157978	-0.098778	0.116237
1204	12.256272	-5.589994	8.119255	3.987200	-6.626316	8.991566	9.631503	-2.216452	11.768263	1.579167	12.038081	-12.762662	11.959746	-1.769384	35.585342	7.630889	13.969640	169.816605	0.464121	0.464121	0.464121	0.464121	0.511722	-0.010993	0.469490
1205	15.055967	-5.302040	9.482162	4.850366	-5.219687	9.970839	6.286847	-1.025896	12.040257	13.224395	8.036966	-9.825096	10.421534	1.701458	39.228828	7.607227	9.227242	206.375565	0.464121	0.464121	0.464121	0.464121	0.292026	-0.100136	-1.108900
1206	15.288857	-3.228290	10.216509	5.030735	-4.155833	11.010333	3.499099	-0.406365	12.104219	17.075731	2.090414	-8.477937	8.515944	6.521097	40.873779	8.801392	4.968153	232.694626	0.464121	0.464121	0.464121	0.464121	0.380081	-0.188167	-0.233152
1207	12.742859	0.085970	10.431787	4.481043	-3.546553	11.572440	0.586940	-1.787462	12.023039	11.476822	-0.782431	-11.659454	6.442322	10.745156	41.829746	7.170612	-0.626406	261.161377	0.464121	0.464121	0.464121	0.464121	0.379508	-0.364923	0.465369
1208	10.813207	3.655461	9.929880	2.954464	-2.628713	9.922583	-3.038662	-2.026063	12.654955	2.758517	0.333491	-16.032604	3.830258	11.805478	41.290241	-1.386195	-5.336983	290.301544	0.464121	0.464121	0.464121	0.464121	0.334728	0.035113	1.343589
1209	11.315572	5.842759	9.443403	0.357959	-1.653880	8.668153	-6.030194	0.659271	13.981894	-2.646341	2.581061	-17.377773	2.161507	9.582711	36.909554	-14.199964	-7.038438	316.880554	0.464121	0.464121	0.464121	0.464121	0.157756	-0.276912	0.291362
1210	12.040925	6.829363	9.396738	-3.568676	-0.112595	9.862020	-5.019422	2.461963	14.874513	-3.401022	4.309176	-16.391258	1.977672	4.498627	27.508671	-24.970671	-5.421680	337.944458	0.464121	0.464121	0.464121	0.464121	0.600441	-0.275707	-0.587882
